Chemical	Chemical_name	Species	Type
50-00-0	Formalin	22	Acute
121-75-5	Malathion	30	Acute
62-73-7	Dichlorvos	16	Acute
52918-63-5	Deltametrin	13	Acute
2921-88-2	Chlorpyrifos	24	Acute
52315-07-8	Cypermethrin	19	Acute
1912-24-9	Atrazine	18	Acute
7647-14-5	Sodium chloride	13	Acute
63-25-2	Carbaryl	25	Acute
52-68-6	Trichlorfon	19	Acute
10043-35-3	Boric acid	10	Acute
52645-53-1	Permethrin	19	Acute
7681-52-9	Clorox	13	Acute
1897-45-6	Chlorothalonil	12	Acute
64-17-5	Ethyl alcohol	9	Acute
569-64-2	Malachite green	12	Acute
35367-38-5	Diflubenzuron	10	Acute
1071-83-6	Glyphosate	15	Acute
7758-98-7	Copper sulfate	35	Acute
7722-64-7	Potassium permanganate	12	Acute
12125-02-9	Ammonium chloride	29	Acute
330-54-1	Diuron	12	Acute
8003-34-7	Pyrethrins 50%	11	Acute
122-34-9	Simazine	15	Acute
50-00-0	Formalin	20	chronic
121-75-5	Malathion	16	chronic
62-73-7	Dichlorvos	13	chronic
52918-63-5	Deltametrin	16	chronic
2921-88-2	Chlorpyrifos	21	chronic
52315-07-8	Cypermethrin	13	chronic
1912-24-9	Atrazine	19	chronic
7722-84-1	Hydrogen Peroxide	10	chronic
7647-14-5	Sodium chloride	13	chronic
63-25-2	Carbaryl	15	chronic
52-68-6	Trichlorfon	11	chronic
52645-53-1	Permethrin	10	chronic
79-57-2	Oxytetracycline	10	chronic
1897-45-6	Chlorothalonil	10	chronic
1071-83-6	Glyphosate	15	chronic
7758-98-7	Copper sulfate	33	chronic
7722-64-7	Potassium permanganate	8	chronic
12125-02-9	Ammonium chloride	17	chronic
330-54-1	Diuron	10	chronic
122-34-9	Simazine	9	chronic
